,channel1,channel2
565,1663846633940.0,7580.0
566,1663846633940.0,7580.0
567,1663846633940.0,7580.0
568,1663846633940.0,7580.0
569,1663846633940.0,7580.0
570,1663846633940.0,7580.0
571,1663846633940.0,7580.0
572,1663846633940.0,7580.0
573,1663846633940.0,7580.0
574,1663846643940.0,7746.0
575,1663846643940.0,7746.0
576,1663846643940.0,7746.0
577,1663846643940.0,7746.0
578,1663846643940.0,7746.0
579,1663846643940.0,7746.0
580,1663846643940.0,7746.0
581,1663846643940.0,7746.0
582,1663846643940.0,7746.0
583,1663846643940.0,7746.0
584,1663846653940.0,7744.0
585,1663846653940.0,7744.0
586,1663846653940.0,7744.0
587,1663846653940.0,7744.0
588,1663846653940.0,7744.0
589,1663846653940.0,7744.0
590,1663846653940.0,7744.0
591,1663846653940.0,7744.0
592,1663846653940.0,7744.0
593,1663846653940.0,7744.0
594,1663846663940.0,7733.0
595,1663846663940.0,7733.0
596,1663846663940.0,7733.0
597,1663846663940.0,7733.0
598,1663846663940.0,7733.0
599,1663846663940.0,7733.0
600,1663846663940.0,7733.0
601,1663846663940.0,7733.0
602,1663846663940.0,7733.0
603,1663846663940.0,7733.0
604,1663846673940.0,7722.0
605,1663846673940.0,7722.0
606,1663846673940.0,7722.0
607,1663846673940.0,7722.0
608,1663846673940.0,7722.0
609,1663846673940.0,7722.0
610,1663846673940.0,7722.0
611,1663846673940.0,7722.0
612,1663846673940.0,7722.0
613,1663846673940.0,7722.0
614,1663846683940.0,7725.0
615,1663846683940.0,7725.0
616,1663846683940.0,7725.0
617,1663846683940.0,7725.0
618,1663846683940.0,7725.0
619,1663846683940.0,7725.0
620,1663846683940.0,7725.0
621,1663846683940.0,7725.0
622,1663846683940.0,7725.0
623,1663846683940.0,7725.0
624,1663846693940.0,7729.0
625,1663846693940.0,7729.0
626,1663846693940.0,7729.0
627,1663846693940.0,7729.0
628,1663846693940.0,7729.0
629,1663846693940.0,7729.0
630,1663846693940.0,7729.0
631,1663846693940.0,7729.0
632,1663846693940.0,7729.0
633,1663846703940.0,7729.0
634,1663846703940.0,7729.0
635,1663846703940.0,7729.0
636,1663846703940.0,7729.0
637,1663846703940.0,7729.0
638,1663846703940.0,7729.0
639,1663846703940.0,7729.0
640,1663846703940.0,7729.0
641,1663846703940.0,7729.0
642,1663846703940.0,7729.0
643,1663846713940.0,7726.0
644,1663846713940.0,7726.0
645,1663846713940.0,7726.0
646,1663846713940.0,7726.0
647,1663846713940.0,7726.0
648,1663846713940.0,7726.0
649,1663846713940.0,7726.0
650,1663846713940.0,7726.0
651,1663846713940.0,7726.0
652,1663846713940.0,7726.0
653,1663846723940.0,7734.0
654,1663846723940.0,7734.0
655,1663846723940.0,7734.0
656,1663846723940.0,7734.0
657,1663846723940.0,7734.0
658,1663846723940.0,7734.0
659,1663846723940.0,7734.0
660,1663846723940.0,7734.0
661,1663846723940.0,7734.0
662,1663846723940.0,7734.0
663,1663846733940.0,7561.0
664,1663846733940.0,7561.0
665,1663846733940.0,7561.0
666,1663846733940.0,7561.0
667,1663846733940.0,7561.0
668,1663846733940.0,7561.0
669,1663846733940.0,7561.0
670,1663846733940.0,7561.0
671,1663846733940.0,7561.0
672,1663846733940.0,7561.0
673,1663846743940.0,7717.0
674,1663846743940.0,7717.0
